,date,total_population,total_doses_administered,total_individuals_at_least_one,total_individuals_fully_vaccinated,total_individuals_3doses,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,active_cases,deaths,resolved_cases,percent_at_least_one,percent_fully_vaccinated,percent_3doses,active_cases_per100k,deaths_per100k,resolved_cases_per100k
372,2022-01-05,14010998,27750953,12239815.0,11436474.0,4056554.0,180013.0,9636.0,8682.0,161487.0,134030,9949,684053,87.35862356129093,81.62497774962212,28.95264134646226,956.6056607816231,71.00850346277974,4882.257495147741
373,2022-01-06,14010998,27945958,12249723.0,11445183.0,4232672.0,195005.0,9908.0,8709.0,176118.0,135313,9967,696091,87.42933943749046,81.68713606268447,30.209639598835142,965.7627529459356,71.13697396859239,4968.17571453511
374,2022-01-07,14010998,28140051,12260375.0,11454222.0,4406948.0,194093.0,10652.0,9039.0,174276.0,135223,10010,708037,87.50536542793026,81.7516496683534,31.453491036113203,965.1204004168725,71.44387573247816,5053.437306892771
375,2022-01-08,14010998,28324152,12271504.0,11462390.0,4571616.0,184101.0,11129.0,8168.0,164668.0,136548,10038,720046,87.58479588677409,81.80994672899104,32.6287677722886,974.577257094748,71.64371874152006,5139.148546020776
376,2022-01-09,14010998,28457813,12282507.0,11469856.0,4686745.0,133661.0,11003.0,7466.0,115129.0,137822,10056,730713,87.66332705207724,81.86323343990199,33.450472264716616,983.6701140061543,71.7721892473327,5215.281595215416
377,2022-01-10,14010998,28551554,12288683.0,11474711.0,4769378.0,93741.0,6176.0,4855.0,82633.0,140523,10062,737712,87.70740671007161,81.8978847902198,34.04024467065087,1002.9478271283745,71.81501274927025,5265.235210225567
378,2022-01-11,14010998,28693247,12296949.0,11482911.0,4894431.0,141693.0,8266.0,8200.0,125053.0,138560,10078,747610,87.76640322124092,81.95641024286779,34.9327792352836,988.9374047444728,71.92920875443704,5335.879713921878
379,2022-01-12,14010998,28853124,12307610.0,11493087.0,5033258.0,159877.0,10661.0,10176.0,138827.0,132188,10119,763724,87.84249344693362,82.02903890215386,35.92362228586429,943.4588456867954,72.22183601767698,5450.8893656254895
380,2022-01-13,14010998,29017284,12319449.0,11504282.0,5174098.0,164160.0,11839.0,11195.0,140840.0,122246,10152,783542,87.92699135350672,82.108940419519,36.92883262134503,872.5003029762762,72.4573652783335,5592.335392525215
381,2022-01-14,14010998,29180320,12333169.0,11517048.0,5310425.0,163036.0,13720.0,12766.0,136327.0,111496,10185,805223,88.02491442793725,82.20005455714147,37.90183254611841,795.7748620048336,72.69289453899,5747.078116776549
382,2022-01-15,14010998,29337677,12346218.0,11530464.0,5440984.0,157357.0,13049.0,13416.0,130559.0,99315,10223,828098,88.11804840740109,82.29580790747383,38.833664811029166,708.8360158212855,72.96411005126116,5910.342717913456
383,2022-01-16,14010998,29455129,12357689.0,11541311.0,5535996.0,117452.0,11471.0,10847.0,95012.0,94408,10260,843418,88.19991980585537,82.3732256617266,39.511789238710904,673.8135284866931,73.22818831320939,6019.685392860666
384,2022-01-17,14010998,29522313,12364589.0,11548371.0,5589136.0,67184.0,6900.0,7060.0,53140.0,94614,10272,851721,88.24916683308356,82.42361464900645,39.89106272087113,675.2838020532156,73.31383531708448,6078.945982291912
385,2022-01-18,14010998,29561731,12368054.0,11552007.0,5621312.0,39418.0,3465.0,3636.0,32176.0,91473,10304,861916,88.27389740545249,82.44956569118061,40.12071088726156,652.8656987889085,73.54222732741808,6151.71024933413
386,2022-01-19,14010998,29664874,12376047.0,11560871.0,5707304.0,103143.0,7993.0,8864.0,85992.0,84266,10357,874814,88.33094544728363,82.512830278043,40.73445731703052,601.4275357115888,73.92050159453309,6243.766503999215
387,2022-01-20,14010998,29769719,12385224.0,11570076.0,5793578.0,104845.0,9177.0,9205.0,86274.0,79370,10425,887399,88.39644399349712,82.57852866726553,41.350216451390544,566.4835581305485,74.40583461649199,6333.588799313225
388,2022-01-21,14010998,29872383,12394138.0,11580643.0,5876517.0,102664.0,8914.0,10567.0,82939.0,74905,10486,898968,88.46006544287566,82.65394799142788,41.94217285592361,534.615735438689,74.8412068861904,6416.159648299144
389,2022-01-22,14010998,29977268,12405477.0,11595052.0,5955345.0,104885.0,11339.0,14409.0,78828.0,71387,10527,908918,88.5409947242873,82.7567886313309,42.50478802437914,509.50688880263914,75.13383414943033,6487.175289012245
390,2022-01-23,14010998,30056293,12414184.0,11609879.0,6010726.0,79025.0,8707.0,14827.0,55381.0,67674,10580,918411,88.60313876284901,82.8626126418689,42.90005608451304,483.00627835361905,75.51210841654535,6554.929206327773
391,2022-01-24,14010998,30100272,12418541.0,11618510.0,6041636.0,43979.0,4357.0,8631.0,30910.0,65504,10614,925337,88.634235762506,82.92421424940606,43.12066849199464,467.51844515287206,75.75477492752479,6604.36180206435
392,2022-01-25,14010998,30166800,12424693.0,11629357.0,6090858.0,66528.0,6152.0,10847.0,49222.0,61566,10672,932641,88.67814412649263,83.00163200365884,43.471978227389656,439.4119533811938,76.16873544625443,6656.492278422993
393,2022-01-26,14010998,30245859,12431738.0,11644800.0,6147286.0,79059.0,7045.0,15443.0,56428.0,56929,10761,942557,88.72842605501764,83.11185256039577,43.87471898861166,406.31652363379106,76.80395072499475,6727.265252625117
394,2022-01-27,14010998,30325181,12439112.0,11660422.0,6203463.0,79322.0,7374.0,15622.0,56177.0,54074,10828,951197,88.78105613889889,83.2233506849405,44.275668300002614,385.9396739618405,77.28214649663072,6788.931095415188
395,2022-01-28,14010998,30403149,12446100.0,11676521.0,6258119.0,77968.0,6988.0,16099.0,54656.0,51437,10895,959104,88.8309312441555,83.33825327788928,44.6657618536524,367.1187448602876,77.76034226826668,6845.365333718554
396,2022-01-29,14010998,30490270,12454154.0,11696545.0,6316931.0,87121.0,8054.0,20024.0,58812.0,49551,10945,965795,88.88841465825632,83.48116957835552,45.08551781964425,353.6578907512513,78.11720478441293,6893.120675629246
397,2022-01-30,14010998,30558597,12460400.0,11718056.0,6357416.0,68327.0,6246.0,21511.0,40485.0,46950,10998,972303,88.93299392377331,83.63469897005196,45.37446939896787,335.0939026613236,78.49547905152795,6939.569900730839
398,2022-01-31,14010998,30649731,12463473.0,11728578.0,6380176.0,91134.0,3073.0,10522.0,22760.0,44863,11025,977406,88.95492669401565,83.70979711794976,45.536913216317636,320.1984612373794,78.68818481024692,6975.991289128726
399,2022-02-01,14010998,30707331,12468855.0,11740651.0,6417699.0,57600.0,5382.0,12073.0,37523.0,42609,11078,982229,88.99333937525364,83.79596514109843,45.80472426018475,304.1110990095067,79.06645907736194,7010.414247436193
400,2022-02-02,14010998,30772309,12475207.0,11756159.0,6457714.0,64978.0,6352.0,15508.0,40015.0,41534,11147,987144,89.03867518930485,83.90664961910636,46.090321331856586,296.4385549123624,79.55892934964376,7045.493832773368
