date,phu_name,at_least_one_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,total_population,percent_at_least_one_dose,percent_fully_vaccinated,percent_3doses,phu_num,active_cases,resolved_cases,deaths,archived_resolved_cases,archived_deaths,percent_active_cases,percent_deaths,percent_resolved_cases
2022-01-05,TIMISKAMING,26955.0,25056.0,11980.0,32164,83.8,77.9,37.25,2263,193,512,3,510.0,5.0,0.600049745056585,0.00932719810968785,1.5918418107200596
2022-01-05,WATERLOO REGION,498427.0,464805.0,169747.0,573162,86.96000000000001,81.08999999999999,29.62,2265,4790,23419,317,23419.0,317.0,0.8357148589752984,0.05530722553135065,4.085930330342904
2022-01-05,WELLINGTON-DUFFERIN-GUELPH,257541.0,240408.0,93228.0,295016,87.3,81.49,31.6,2266,2833,11012,124,11008.0,128.0,0.9602868996935761,0.042031618624074625,3.7326789055508853
2022-01-05,WINDSOR-ESSEX COUNTY,347576.0,325814.0,127464.0,410271,84.72,79.41,31.069999999999997,2268,2644,23904,496,23895.0,505.0,0.6444520816728455,0.12089570064664575,5.826392798906089
2022-01-05,YORK REGION,996011.0,931398.0,328913.0,1143703,87.09,81.44,28.76,2270,11871,65063,829,65028.0,864.0,1.0379442914812675,0.072483852888381,5.688802075363971
2022-01-05,TORONTO,2503481.0,2351395.0,831525.0,2851090,87.81,82.47,29.17,3895,33998,191547,3586,191420.0,3713.0,1.1924562184988898,0.125776457425055,6.718377883546293
2022-01-05,SOUTHWESTERN,167630.0,157372.0,50297.0,206207,81.28999999999999,76.32,24.39,4913,1275,6425,114,6423.0,116.0,0.6183107265999699,0.055284253201879664,3.115801112474358
2022-01-05,HURON PERTH,115868.0,109160.0,45257.0,137903,84.02,79.16,32.82,5183,863,2994,75,2994.0,75.0,0.6258021942959906,0.05438605396546849,2.1710912743015016
2022-01-06,ALGOMA DISTRICT,97539.0,90699.0,39279.0,112839,86.44,80.38,34.81,2226,612,1763,20,1763.0,20.0,0.5423656714433839,0.017724368347823004,1.562403069860598
2022-01-06,BRANT COUNTY,123079.0,115252.0,41117.0,144945,84.91,79.51,28.37,2227,1439,5727,41,5727.0,41.0,0.9927903687605645,0.028286591465728383,3.9511538859567423
2022-01-06,DURHAM REGION,595141.0,556255.0,187427.0,671727,88.6,82.80999999999999,27.900000000000002,2230,6620,31815,390,31814.0,391.0,0.9855194148813431,0.05805930087669544,4.736299121518116
2022-01-06,GREY BRUCE,134390.0,126950.0,55775.0,167078,80.44,75.98,33.379999999999995,2233,890,3279,33,3279.0,33.0,0.5326853325991453,0.019751253905361567,1.9625564107781994
